group,alpha_idx,lambda_idx,alpha,lam,seed,final_step_measured,fourier_sparsity,circularity_top_freq,weight_norm_total,embedding_stable_rank,embedding_effective_rank,lm_head_effective_rank,dom_freq_0,dom_freq_1,dom_freq_2,dom_freq_3,dom_freq_4,source_file,first_step,first_fourier_sparsity,first_circularity_top_freq,first_weight_norm_total,first_embedding_stable_rank,first_embedding_effective_rank,first_lm_head_effective_rank,phase,t_train,t_test,final_step,delta_fourier_sparsity,delta_circularity_drop,dominant_freqs,top_canonical_freq,fourier_score,fourier_sparsity_pct_in_group,circularity_good_pct_in_group,fourier_evidence,mechanism_call
A,0,0,0.1,0.01,0,100000,0.09227235615253448,0.5051344633102417,215.80043029785156,1.0499746799468994,22.66204071044922,,41.0,72.0,102.0,11.0,45.0,results/scans/A_p113_phase1.partial.parquet,100,0.12164503335952759,0.47832897305488586,22.055265426635742,11.084744453430176,51.849998474121094,,memorize,100.0,,100000,-0.029372677206993103,-0.026805490255355835,"41,72,102,11,45",41.0,3.81,0.25,0.30000000000000004,none,memorization_or_lookup
A,0,1,0.1,0.031623,0,100000,0.08921033889055252,0.5079973936080933,76.68231964111328,1.2526602745056152,37.28141784667969,,41.0,72.0,100.0,13.0,5.0,results/scans/A_p113_phase1.partial.parquet,100,0.12207438796758652,0.47620508074760437,22.012983322143555,10.985684394836426,51.846641540527344,,memorize,100.0,,100000,-0.032864049077034,-0.03179231286048889,"41,72,100,13,5",41.0,3.53,0.15,0.25,none,memorization_or_lookup
A,0,2,0.1,0.1,0,100000,0.09116644412279129,0.5044872164726257,27.891876220703125,5.471969127655029,48.508384704589844,,13.0,100.0,72.0,41.0,5.0,results/scans/A_p113_phase1.partial.parquet,100,0.121857188642025,0.4791158437728882,21.884241104125977,11.023509979248047,51.77907943725586,,memorize,100.0,,100000,-0.030690744519233704,-0.02537137269973755,"13,100,72,41,5",13.0,3.84,0.2,0.35,none,memorization_or_lookup
A,0,3,0.1,0.316228,0,100000,0.10193151235580444,0.4890460669994354,27.22653579711914,24.468061447143555,50.57522964477539,,13.0,100.0,79.0,34.0,10.0,results/scans/A_p113_phase1.partial.parquet,100,0.12288741022348404,0.4814348518848419,21.47926139831543,10.852765083312988,51.70826721191406,,memorize,100.0,,100000,-0.020955897867679596,-0.007611215114593506,"13,100,79,34,10",13.0,5.19,0.3,0.4,none,memorization_or_lookup
A,0,4,0.1,1.0,0,100000,0.07533907145261765,0.4709485173225403,31.213884353637695,30.175884246826172,59.56820297241211,,41.0,72.0,102.0,11.0,36.0,results/scans/A_p113_phase1.partial.parquet,100,0.12458645552396774,0.48976922035217285,20.266557693481445,10.467076301574707,51.38676834106445,,memorize,1000.0,,100000,-0.0492473840713501,0.01882070302963257,"41,72,102,11,36",41.0,6.16,0.05,0.5,none,memorization_or_lookup
A,0,5,0.1,3.162278,0,100000,0.08631941676139832,0.5149111747741699,33.75012969970703,23.33722686767578,54.40619659423828,,10.0,103.0,79.0,34.0,11.0,results/scans/A_p113_phase1.partial.parquet,100,0.13179151713848114,0.5039040446281433,17.030189514160156,9.321906089782715,50.381996154785156,,memorize,1000.0,,100000,-0.045472100377082825,-0.011007130146026611,"10,103,79,34,11",10.0,2.8,0.1,0.19999999999999996,none,memorization_or_lookup
A,0,6,0.1,10.0,0,5000000,0.4880305826663971,0.796455979347229,8.459412574768066,1.0701147317886353,4.45863151550293,,34.0,79.0,107.0,6.0,14.0,results/scans/A_p113_phase1.partial.parquet,100,0.1653061807155609,0.5768910646438599,11.144333839416504,6.26259708404541,47.26149368286133,,fail,,,5000000,0.3227244019508362,-0.21956491470336914,"34,79,107,6,14",34.0,24.54,0.9,0.0,weak,no_generalization_or_fail
A,1,0,0.2,0.01,0,100000,0.13959041237831116,0.5269595980644226,197.8797607421875,1.0653281211853027,22.654157638549805,,41.0,72.0,61.0,52.0,45.0,results/scans/A_p113_phase1.partial.parquet,100,0.133844256401062,0.5058797001838684,22.116710662841797,10.887896537780762,51.36099624633789,,memorize,1000.0,,100000,0.0057461559772491455,-0.0210798978805542,"41,72,61,52,45",41.0,2.65,0.35,0.050000000000000044,none,memorization_or_lookup
A,1,1,0.2,0.031623,0,100000,0.1603812426328659,0.4638949930667877,51.980690002441406,1.8924293518066406,41.973304748535156,,41.0,72.0,61.0,52.0,45.0,results/scans/A_p113_phase1.partial.parquet,100,0.13403983414173126,0.5086901187896729,22.08206558227539,10.900726318359375,51.35734558105469,,memorize,1000.0,,100000,0.026341408491134644,0.04479512572288513,"41,72,61,52,45",41.0,7.87,0.45,0.55,none,memorization_or_lookup
A,1,2,0.2,0.1,0,100000,0.15951955318450928,0.4815090596675873,26.96776008605957,6.433543682098389,41.86343765258789,,41.0,72.0,61.0,52.0,14.0,results/scans/A_p113_phase1.partial.parquet,100,0.1340206414461136,0.5097448229789734,21.94471549987793,10.86832046508789,51.33352279663086,,memorize,1000.0,,100000,0.02549891173839569,0.02823576331138611,"41,72,61,52,14",41.0,6.49,0.4,0.44999999999999996,none,memorization_or_lookup
