group,phase,n,fourier_score_median,fourier_score_mean,fourier_sparsity_median,fourier_sparsity_mean,circularity_top_freq_median,circularity_top_freq_mean,delta_fourier_sparsity_median,delta_fourier_sparsity_mean,delta_circularity_drop_median,delta_circularity_drop_mean,embedding_stable_rank_median,embedding_stable_rank_mean,embedding_effective_rank_median,embedding_effective_rank_mean,lm_head_effective_rank_median,lm_head_effective_rank_mean,weight_norm_total_median,weight_norm_total_mean
A,fail,2,50.144999999999996,50.144999999999996,0.7096615880727768,0.7096615880727768,0.604114904999733,0.604114904999733,0.5496374368667603,0.5496374368667603,-0.08736847341060638,-0.08736847341060638,2.0864362120628357,2.0864362120628357,9.731512069702148,9.731512069702148,,,11.413411140441895,11.413411140441895
A,memorize,16,5.675000000000001,11.540624999999999,0.1599503979086876,0.18104996671900153,0.48527756333351135,0.4263528482988477,0.016817882657051086,0.008702936116605997,0.006581008434295654,0.039038886316120625,6.289324760437012,10.910780645906925,40.99153137207031,40.555909395217896,,,31.195277214050293,65.32776212692261
A,grok,1,67.85,67.85,0.6294180154800415,0.6294180154800415,0.17333824932575226,0.17333824932575226,0.31497207283973694,0.31497207283973694,0.18254615366458893,0.18254615366458893,18.28798484802246,18.28798484802246,53.03592300415039,53.03592300415039,,,27.507062911987305,27.507062911987305
A,comprehend,1,33.18,33.18,0.4120595455169678,0.4120595455169678,0.287383496761322,0.287383496761322,0.050551533699035645,0.050551533699035645,0.04187503457069397,0.04187503457069397,23.914060592651367,23.914060592651367,55.80390930175781,55.80390930175781,,,30.024494171142578,30.024494171142578
B,fail,1,19.55,19.55,0.38029876351356506,0.38029876351356506,0.40190160274505615,0.40190160274505615,-0.3458136022090912,-0.3458136022090912,-0.10868385434150696,-0.10868385434150696,24.24209213256836,24.24209213256836,57.69313049316406,57.69313049316406,,,29.922508239746094,29.922508239746094
B,memorize,6,27.66,28.076666666666668,0.4298238307237625,0.4352230876684189,0.35335254669189453,0.36286287506421405,-0.25529806315898895,-0.25236203769842785,-0.06093345582485199,-0.07242964208126068,4.841890573501587,8.174230575561523,46.034690856933594,40.93285814921061,,,59.079885482788086,122.36666043599446
B,grok,2,43.864999999999995,43.864999999999995,0.4793727248907089,0.4793727248907089,0.21664436161518097,0.21664436161518097,-0.2433575838804245,-0.2433575838804245,0.00015816837549209595,0.00015816837549209595,1.1791585087776184,1.1791585087776184,31.323933601379395,31.323933601379395,,,166.10326766967773,166.10326766967773
B,comprehend,12,38.705,36.9575,0.4678046554327011,0.4564090569814046,0.2682104855775833,0.27594395726919174,-0.27106764912605286,-0.28272360066572827,-0.06060740351676941,-0.06541278089086215,21.112624168395996,16.34640089670817,57.442800521850586,51.735584100087486,,,27.92837429046631,53.223601977030434
C,fail,2,67.69999999999999,67.69999999999999,0.7984376549720764,0.7984376549720764,0.4372328966856003,0.4372328966856003,0.5405770689249039,0.5405770689249039,-0.20002439618110657,-0.20002439618110657,1.854570746421814,1.854570746421814,18.278091430664062,18.278091430664062,12.98689317703247,12.98689317703247,26.141722679138184,26.141722679138184
C,memorize,13,81.74,76.77230769230769,0.8109667897224426,0.7853998908629785,0.2899266481399536,0.31011157310925996,0.4589485228061676,0.44434091448783875,0.06550738215446472,0.022401267519363992,5.991243839263916,6.1585532151735745,29.039976119995117,32.26885179372934,52.65633773803711,36.74827947983375,31.23012351989746,291.04922045194184
C,grok,8,88.43,86.51875,0.8255984485149384,0.7969326674938202,0.17043066769838333,0.1734717283397913,0.4999430924654007,0.48227646201848984,0.16915427893400192,0.1745555493980646,7.314266204833984,7.032982170581818,37.097272872924805,36.44290900230408,23.34574055671692,28.746410489082336,346.4316520690918,378.57466173171997
C,comprehend,31,91.29,88.19612903225806,0.8444804549217224,0.815224330271444,0.14412830770015717,0.1823527291417122,0.5898106396198273,0.5561113352737119,0.13262641429901123,0.10128950135361764,5.545516490936279,5.63864553359247,33.05082321166992,33.428136394869895,38.516136169433594,35.231032648394184,33.603187561035156,149.21723279645366
